"A. Socialdemokratiet";"Frederikshavn";12822;13692;12460
"A. Socialdemokratiet";"Hjørring";11604;12017;11542
"A. Socialdemokratiet";"Jammerbugt";7341;8053;7659
"A. Socialdemokratiet";"Læsø";371;377;350
"A. Socialdemokratiet";"Mariagerfjord";7478;8227;7757
"A. Socialdemokratiet";"Morsø";4167;4850;4681
"A. Socialdemokratiet";"Rebild";4754;5138;5172
"A. Socialdemokratiet";"Thisted";7385;8453;8629
"A. Socialdemokratiet";"Vesthimmerlands";4936;5390;5638
"A. Socialdemokratiet";"Aalborg";40585;40358;40383
"B. Radikale Venstre";"København";28291;56075;31976
"B. Radikale Venstre";"Frederiksberg";6143;12234;7189
"B. Radikale Venstre";"Dragør";491;923;468
"B. Radikale Venstre";"Tårnby";933;2032;945
"B. Radikale Venstre";"Albertslund";714;1433;638
"B. Radikale Venstre";"Ballerup";1162;2548;1060
"B. Radikale Venstre";"Brøndby";728;1463;610
"B. Radikale Venstre";"Gentofte";3477;6787;4083
"B. Radikale Venstre";"Gladsaxe";2622;5043;2632
"B. Radikale Venstre";"Glostrup";497;1058;424
"B. Radikale Venstre";"Herlev";722;1425;604
"B. Radikale Venstre";"Hvidovre";1282;2620;1112
"B. Radikale Venstre";"Høje-Taastrup";1169;2520;950
"B. Radikale Venstre";"Ishøj";354;809;318
"B. Radikale Venstre";"Lyngby-Taarbæk";2976;5420;3048
"B. Radikale Venstre";"Rødovre";1020;2053;884
"B. Radikale Venstre";"Vallensbæk";352;813;347
"B. Radikale Venstre";"Allerød";1323;2181;1287
"B. Radikale Venstre";"Egedal";1532;2958;1380
"B. Radikale Venstre";"Fredensborg";1897;3103;1729
"B. Radikale Venstre";"Frederikssund";1379;2464;1065
"B. Radikale Venstre";"Furesø";2220;3743;2233
"B. Radikale Venstre";"Gribskov";1471;2387;976
"B. Radikale Venstre";"Halsnæs";919;1436;446
"B. Radikale Venstre";"Helsingør";2590;4237;2036
"B. Radikale Venstre";"Hillerød";2024;3746;1917
"B. Radikale Venstre";"Hørsholm";1157;1839;1119
"B. Radikale Venstre";"Rudersdal";3519;5443;3327
"B. Radikale Venstre";"Bornholm";617;1503;426
"B. Radikale Venstre";"Christiansø";1;6;1
"B. Radikale Venstre";"Greve";1086;2358;998
"B. Radikale Venstre";"Køge";1348;2957;1310
"B. Radikale Venstre";"Lejre";944;1772;787
"B. Radikale Venstre";"Roskilde";3234;6327;3257
"B. Radikale Venstre";"Solrød";498;1052;508
"B. Radikale Venstre";"Faxe";862;1646;569
"B. Radikale Venstre";"Guldborgsund";1274;2328;791
"B. Radikale Venstre";"Holbæk";2286;3712;1901
"B. Radikale Venstre";"Kalundborg";1221;1934;763
"B. Radikale Venstre";"Lolland";524;1255;365
"B. Radikale Venstre";"Næstved";1788;3546;1175
"B. Radikale Venstre";"Odsherred";913;1520;549
"B. Radikale Venstre";"Ringsted";813;1678;758
"B. Radikale Venstre";"Slagelse";1402;3009;1432
"B. Radikale Venstre";"Sorø";780;1575;644
"B. Radikale Venstre";"Stevns";520;1088;365
"B. Radikale Venstre";"Vordingborg";1228;2083;734
"B. Radikale Venstre";"Assens";1160;1935;680
"B. Radikale Venstre";"Faaborg-Midtfyn";1750;2809;974
"B. Radikale Venstre";"Kerteminde";618;1057;304
"B. Radikale Venstre";"Langeland";402;596;152
"B. Radikale Venstre";"Middelfart";1198;2084;845
"B. Radikale Venstre";"Nordfyns";682;1028;367
"B. Radikale Venstre";"Nyborg";793;1401;455
"B. Radikale Venstre";"Odense";6704;11993;5462
"B. Radikale Venstre";"Svendborg";2090;3468;1207
"B. Radikale Venstre";"Ærø";157;287;67
"B. Radikale Venstre";"Billund";474;854;365
"B. Radikale Venstre";"Esbjerg";2191;4579;1929
"B. Radikale Venstre";"Fanø";92;191;71
"B. Radikale Venstre";"Fredericia";961;1978;789
"B. Radikale Venstre";"Haderslev";1025;2206;979
"B. Radikale Venstre";"Kolding";2267;4389;2017
"B. Radikale Venstre";"Sønderborg";1464;2790;1983
"B. Radikale Venstre";"Tønder";736;1313;614
